ID,Day,Month,Hour,Minutes,lat,lon,Area,ImageNumber,SplitParentID,MergeParentID, MergeChldArea,MinT,CoreArea,AvgT
1,4,6,0,0,0.8,68.5,9940,1,0,0,0,193,9940,203
1,4,6,2,30,0.5,69.2,7912,2,0,0,0,200,7912,205
1,4,6,3,30,0.5,69.2,0,2,0,0,0,200,7912,205
2,4,6,0,0,6,90.7,4407,1,0,0,0,190,4407,202
2,4,6,2,30,6,90.7,0,1,0,3,0,190,4407,202
3,4,6,0,0,7.9,91.7,103492,1,0,0,0,180,103492,197
3,4,6,2,30,7.8,91.8,101022,2,0,0,4407,180,103492,198
3,4,6,3,30,8.5,90.2,46709,3,0,0,3863,184,46709,200
3,4,6,4,0,8.6,90.2,41732,4,0,0,0,184,41732,200
3,4,6,4,30,7.8,90.3,20255,5,0,0,0,181,20255,201
3,4,6,5,0,7.3,90.5,12327,6,0,0,0,184,12327,197
3,4,6,5,30,7.1,90.4,13054,7,0,0,0,187,13054,198
3,4,6,6,0,7,90.4,13327,8,0,0,0,193,13327,201
3,4,6,6,30,6.9,90.5,17128,9,0,0,0,182,17128,201
3,4,6,7,0,6.9,90.6,13310,10,0,0,0,187,13310,201
3,4,6,7,30,6.5,91.2,18200,11,0,0,0,190,18200,203
3,4,6,8,0,6.7,91,14906,12,0,0,0,186,14906,202
3,4,6,8,30,6.8,90.8,17178,13,0,0,0,180,17178,202
3,4,6,9,0,6.4,91.7,30145,14,0,0,12176,180,17178,200
3,4,6,9,30,6.4,90.7,18704,15,0,0,0,180,18704,198
3,4,6,10,0,6.4,90.7,28192,16,0,0,0,183,28192,199
3,4,6,10,30,6.3,90.7,30461,17,0,0,0,181,30461,200
3,4,6,11,30,6.3,90.7,26493,18,0,0,0,180,26493,198
3,4,6,12,0,6.1,90.6,17863,19,0,0,0,180,17863,195
3,4,6,12,30,6,90.6,18536,20,0,0,0,180,18536,194
3,4,6,13,30,6,90.6,0,20,0,11,0,180,18536,194
4,4,6,0,0,7.4,66.2,6492,1,0,0,0,184,6492,197
4,4,6,2,30,7.4,66.2,0,1,0,0,0,184,6492,197
5,4,6,0,0,7.8,97.2,7126,1,0,0,0,192,7126,199
5,4,6,2,30,7.8,97.2,0,1,0,0,0,192,7126,199
6,4,6,0,0,8.6,73.8,22962,1,0,0,0,180,22962,200
6,4,6,2,30,10.8,73.4,49598,2,0,0,10919,184,49598,200
6,4,6,3,30,11.9,73.4,29989,3,0,0,0,182,29989,199
6,4,6,4,0,12,73.3,30499,4,0,0,0,184,30499,200
6,4,6,4,30,12,73.4,30813,5,0,0,0,187,30813,201
6,4,6,5,0,11.8,73.3,24915,6,0,0,0,192,24915,202
6,4,6,5,30,11.8,73.3,19373,7,0,0,0,194,19373,204
6,4,6,6,0,11.9,73.2,10784,8,0,0,0,198,10784,205
6,4,6,6,30,11.8,73.5,16000,9,0,0,0,194,16000,204
6,4,6,7,0,11.8,74.8,6096,10,0,0,0,196,6096,204
6,4,6,7,30,11.6,75.1,5090,11,0,0,0,198,5090,204
6,4,6,8,0,11.3,75.1,4399,12,0,0,0,199,4399,204
6,4,6,8,30,11.3,75,3156,13,0,0,0,201,3156,206
6,4,6,9,0,11.3,75,0,13,0,0,0,201,3156,206
7,4,6,0,0,9.3,97.1,6532,1,0,0,0,200,6532,205
7,4,6,2,30,9.3,97.1,0,1,0,0,0,200,6532,205
8,4,6,0,0,10.2,88.7,4093,1,0,0,0,186,4093,194
8,4,6,2,30,10.2,88.7,0,1,0,0,0,186,4093,194
9,4,6,0,0,11,73.7,10919,1,0,0,0,180,10919,195
9,4,6,2,30,11,73.7,0,1,0,6,0,180,10919,195
10,4,6,0,0,11.8,88.7,26224,1,0,0,0,180,26224,194
10,4,6,2,30,12.4,88.3,14227,2,0,0,0,183,14227,196
10,4,6,3,30,13.6,87.7,24862,3,0,0,11516,180,24862,196
10,4,6,4,0,13.6,87.5,26779,4,0,0,0,180,26779,196
10,4,6,4,30,13.6,87.5,0,4,0,11,0,180,26779,196
11,4,6,0,0,12.8,84.9,33521,1,0,0,0,180,33521,198
11,4,6,2,30,11.5,86.7,52158,2,0,0,0,180,52158,195
11,4,6,3,30,11.4,86.9,63159,3,0,0,0,180,63159,196
11,4,6,4,0,11.3,86.8,69137,4,0,0,0,180,69137,196
11,4,6,4,30,11.9,87,110480,5,0,0,26779,180,110480,196
11,4,6,5,0,11.6,87.5,135177,6,0,0,18477,180,110480,196
11,4,6,5,30,11.4,87.4,146435,7,0,0,0,180,146435,196
11,4,6,6,0,11.3,87.5,147776,8,0,0,0,180,147776,196
11,4,6,6,30,11.2,87.5,176313,9,0,0,0,180,176313,194
11,4,6,7,0,11.2,87.3,174789,10,0,0,0,180,174789,194
11,4,6,7,30,10.4,87.6,132114,11,0,0,0,180,132114,192
11,4,6,8,0,10.6,87.8,140233,12,0,0,7686,180,140233,192
11,4,6,8,30,10.6,88.1,146560,13,0,0,0,180,146560,192
11,4,6,9,0,10.6,88.1,151850,14,0,0,0,180,151850,194
11,4,6,9,30,10.5,88.1,151365,15,0,0,0,180,151365,196
11,4,6,10,0,10.3,88.1,136346,16,0,0,0,180,136346,198
11,4,6,10,30,10.1,88.3,115639,17,0,0,0,180,115639,199
11,4,6,11,30,9.3,88.7,57598,18,0,0,0,180,57598,199
